action_framing,escalation_of_commitment
Escalation-action,50
Deescalation-action,70
Ambiguous,90
Deescalation-action,75
Deescalation-action,80
Escalation-action,70
Deescalation-action,0
Escalation-action,0
Ambiguous,40
Ambiguous,5
Escalation-action,0
Deescalation-action,10
Deescalation-action,75
Escalation-action,20
Ambiguous,100
Escalation-action,0
Ambiguous,0
Deescalation-action,20
Ambiguous,10
Ambiguous,50
Deescalation-action,75
Deescalation-action,20
Deescalation-action,15
Ambiguous,85
Deescalation-action,65
Deescalation-action,80
Deescalation-action,50
Ambiguous,20
Ambiguous,75
Deescalation-action,50
Escalation-action,0
Deescalation-action,10
Escalation-action,15
Escalation-action,90
Escalation-action,80
Deescalation-action,10
Escalation-action,35
Escalation-action,0
Ambiguous,30
Escalation-action,75
Escalation-action,55
Escalation-action,70
Escalation-action,75
Escalation-action,50
Escalation-action,0
Ambiguous,20
Ambiguous,80
Deescalation-action,10
Ambiguous,75
Deescalation-action,80
Ambiguous,10
Ambiguous,30
Escalation-action,25
Deescalation-action,90
Escalation-action,25
Ambiguous,15
Escalation-action,75
Ambiguous,75
Escalation-action,90
Escalation-action,90
Ambiguous,75
Deescalation-action,20
Ambiguous,100
Deescalation-action,0
Deescalation-action,0
Escalation-action,20
Escalation-action,90
Ambiguous,20
Deescalation-action,10
Ambiguous,40
Ambiguous,100
Ambiguous,0
Deescalation-action,80
Deescalation-action,100
Ambiguous,40
Deescalation-action,75
Ambiguous,30
Deescalation-action,100
Escalation-action,30
Escalation-action,2
Deescalation-action,0
Ambiguous,75
Escalation-action,0
Deescalation-action,99
Ambiguous,75
Escalation-action,100
Ambiguous,89
Ambiguous,10
Deescalation-action,40
Escalation-action,95
Ambiguous,50
Escalation-action,30
Deescalation-action,20
Deescalation-action,30
Escalation-action,90
Escalation-action,30
Deescalation-action,5
Ambiguous,70
Ambiguous,60
Deescalation-action,50
Escalation-action,35
Ambiguous,40
Escalation-action,35
Deescalation-action,75
Escalation-action,30
Ambiguous,100
Ambiguous,85
Ambiguous,50
Ambiguous,90
Deescalation-action,0
Escalation-action,85
Ambiguous,10
Escalation-action,70
Escalation-action,20
Deescalation-action,0
Escalation-action,0
Ambiguous,0
Ambiguous,20
Escalation-action,100
Deescalation-action,70
Escalation-action,0
Escalation-action,50
Escalation-action,15
Deescalation-action,35
Escalation-action,0
Escalation-action,51
Deescalation-action,100
Deescalation-action,60
Ambiguous,25
Ambiguous,20
Escalation-action,80
Escalation-action,70
Escalation-action,25
Deescalation-action,0
Ambiguous,60
Escalation-action,20
Escalation-action,10
Deescalation-action,0
Escalation-action,50
Ambiguous,5
Escalation-action,30
Ambiguous,63
Ambiguous,50
Ambiguous,25
Deescalation-action,45
Escalation-action,75
Deescalation-action,0
Escalation-action,100
Escalation-action,100
Ambiguous,10
Ambiguous,60
Escalation-action,0
Escalation-action,80
Escalation-action,100
Escalation-action,30
Deescalation-action,40
Deescalation-action,0
Ambiguous,51
Deescalation-action,0
Escalation-action,100
Ambiguous,70
Deescalation-action,0
Escalation-action,20
Deescalation-action,10
Ambiguous,10
Escalation-action,75
Deescalation-action,50
Deescalation-action,28
Deescalation-action,30
Ambiguous,15
Escalation-action,90
Deescalation-action,25
Escalation-action,90
Escalation-action,30
Deescalation-action,50
Escalation-action,55
Deescalation-action,40
Ambiguous,45
Deescalation-action,100
Ambiguous,40
Ambiguous,35
Deescalation-action,50
Escalation-action,80
Ambiguous,99
Ambiguous,0
Deescalation-action,60
Escalation-action,20
Deescalation-action,25
Deescalation-action,100
Ambiguous,20
Ambiguous,60
Escalation-action,15
Ambiguous,10
Ambiguous,2
Deescalation-action,15
Escalation-action,75
Deescalation-action,40
Ambiguous,50
Ambiguous,15
Deescalation-action,70
Deescalation-action,0
Deescalation-action,100
Ambiguous,10
Ambiguous,74
Deescalation-action,10
Escalation-action,85
Ambiguous,70
Ambiguous,0
Ambiguous,0
Ambiguous,25
Ambiguous,0
Ambiguous,45
Ambiguous,10
Ambiguous,0
Escalation-action,80
Escalation-action,20
Ambiguous,60
Escalation-action,25
Escalation-action,50
Deescalation-action,25
Ambiguous,100
Ambiguous,40
Ambiguous,10
Ambiguous,50
Escalation-action,90
Ambiguous,50
Deescalation-action,90
Ambiguous,20
Ambiguous,30
Deescalation-action,45
Escalation-action,10
Deescalation-action,10
Deescalation-action,50
Deescalation-action,20
Deescalation-action,0
Ambiguous,70
Deescalation-action,70
Ambiguous,50
Escalation-action,40
Ambiguous,20
Ambiguous,20
Ambiguous,50
Escalation-action,70
Deescalation-action,0
Ambiguous,25
Deescalation-action,80
Deescalation-action,90
Escalation-action,70
Escalation-action,50
Escalation-action,100
Deescalation-action,0
Deescalation-action,0
Deescalation-action,79
Ambiguous,30
Ambiguous,25
Deescalation-action,20
Ambiguous,50
Deescalation-action,75
Escalation-action,1
Escalation-action,0
Escalation-action,100
Ambiguous,50
Escalation-action,100
Deescalation-action,25
Escalation-action,0
Deescalation-action,80
Deescalation-action,20
Escalation-action,0
Ambiguous,85
Escalation-action,20
Deescalation-action,25
Ambiguous,50
Ambiguous,50
Deescalation-action,10
Escalation-action,75
Deescalation-action,25
Escalation-action,25
Deescalation-action,50
Ambiguous,40
Deescalation-action,10
Deescalation-action,5
Deescalation-action,5
Ambiguous,10
Escalation-action,80
Deescalation-action,30
Escalation-action,70
Deescalation-action,65
Ambiguous,70
Deescalation-action,0
Ambiguous,50
Ambiguous,5
Escalation-action,95
Escalation-action,50
Escalation-action,10
Deescalation-action,30
Escalation-action,100
Escalation-action,60
Deescalation-action,40
Escalation-action,90
